rank,O score,matrix,c1,m1,c2,m2
118,2.013935954272318,"         114       78
383 8.62E+01 9.76E+01
458 7.13E+01 1.02E+02",114,383,78,458
119,2.0138927124262755,"         114       86
371 7.13E+01 1.05E+02
381 8.73E+01 1.02E+02",114,381,86,371
120,2.0138767989861464,"         101      114
261 9.87E+01 7.36E+01
297 8.86E+01 8.36E+01",101,261,114,297
121,2.0138673891603314,"         114      128
297 8.36E+01 9.21E+01
371 7.13E+01 9.94E+01",114,297,128,371
122,2.0138591812212936,"         114       78
366 7.01E+01 1.01E+02
383 8.62E+01 9.76E+01",114,383,78,366
123,2.0138567118533683,"         114       NP
366 7.01E+01 1.04E+02
381 8.73E+01 1.02E+02",114,381,NP,366
124,2.013851004059348,"         114      128
363 7.00E+01 1.01E+02
385 8.32E+01 9.49E+01",114,385,128,363
125,2.013848180885361,"         114       79
383 8.62E+01 1.01E+02
443 7.23E+01 1.08E+02",114,383,79,443
126,2.013846488128121,"         114       99
319 7.88E+01 9.03E+01
363 7.00E+01 1.01E+02",114,319,99,363
127,2.013817233502694,"         114       99
305 8.04E+01 8.84E+01
366 7.01E+01 9.74E+01",114,305,99,366
128,2.0137426936665594,"         114       99
261 7.36E+01 1.02E+02
384 8.73E+01 9.55E+01",114,384,99,261
129,2.0136479477521063,"         101      114
363 9.52E+01 7.00E+01
391 9.13E+01 8.49E+01",101,363,114,391
130,2.013630429177549,"         114       79
363 7.00E+01 1.09E+02
389 8.23E+01 1.01E+02",114,389,79,363
131,2.0136211330555667,"         114       79
363 7.00E+01 1.09E+02
387 8.34E+01 1.02E+02",114,387,79,363
132,2.0136036499706687,"         114       78
363 7.00E+01 1.00E+02
383 8.62E+01 9.76E+01",114,383,78,363
133,2.0135668936415194,"         114      128
363 7.00E+01 1.01E+02
380 8.30E+01 9.49E+01",114,380,128,363
134,2.0135523406815587,"         114       78
260 7.36E+01 1.05E+02
383 8.62E+01 9.76E+01",114,383,78,260
135,2.013548506078674,"         114       78
264 7.56E+01 1.10E+02
384 8.73E+01 1.01E+02",114,384,78,264
136,2.013526609991397,"         114       99
353 8.31E+01 9.54E+01
363 7.00E+01 1.01E+02",114,353,99,363
137,2.013517572163894,"         101      114
363 9.52E+01 7.00E+01
411 9.28E+01 8.62E+01",101,363,114,411
138,2.0134991583555837,"         101      114
373 9.31E+01 7.17E+01
381 8.97E+01 8.73E+01",101,373,114,381
